Name,Release Date,Holiday(Y/N),Actor,Times Celebex Male,Times Celebex Female,Box Office Range,Target,Box Office Sales,Duration,Duration Range,Facebook Likes (3 month),Facebook(2 months),Facebook(1 month),Facebook(15 days),Facebook(1 week),Facebook(3 days),Trend,Promotion before 3 months,Log(start/average),log(end/average),Increase 3-2,Increase 2-1,Increase 1-15 days,Increase 15-7 days,Increase 7-3 days,isSequel,isUniversal,isAction,isComedy,isThriller,isAdventure,isRomantic,isDrama,isBiography,isCrime,isMusical,isSport,isMystery,isHorror
Raaz Reboot,16/9/16,Y,"Emraan Hashmi, Gaurav Arora ",0,0,<25,<50,"24,81,50,000",2:08,2 - 2.5,2103,5062,11401,23846,27897,29922,2.127892588,1,-1.123492978,-0.622203372,140.7,125.23,109.16,16.99,7.26,1,1,0,0,0,0,1,0,0,0,0,0,1,1
Banjo,23/9/16,N,"Ritesh Deshmukh, Nargis Fakhri",0,0,<25,<50,"8,02,50,000",2:17,2 - 2.5,565,762,2756,3823,4617,5295,2.114110038,1,-1.694283803,-1.374328026,34.87,261.68,38.72,20.77,14.68,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Mirzya,10/7/2016,N,"Harshvardhan Kapoor, Shiyami Kher",0,0,<25,<50,"7,92,25,000",2:09,2 - 2.5,6658,7383,13993,55787,59551,60129,2.096957565,1,-0.62298846,-0.319110009,10.89,89.53,298.68,6.75,0.97,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Anna,14/10/16,N,"Shashank Udapurkar,?Tanishaa Mukerji,?Govind Namdeo,Rajit Kapur,?Sharat Saxena,?Kishor Kadam",0,0,<25,<50,"18,25,000",2:22,2 - 2.5,344,345,419,42337,43259,43209,2.491753552,1,-1.909773808,-0.462619775,0.29,21.45,10004.3,2.18,-0.12,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Beiimaan Love ,14/10/16,N,"Sunny Leone, Rajneesh Duggal",0,0,<25,<50,"2,10,00,000",2:00,2 - 2.5,11091,13025,18847,32871,42578,47150,1.990929973,1,-0.401361545,-0.424712293,17.44,44.7,74.41,29.53,10.74,0,1,0,0,1,0,1,1,0,0,0,0,0,0
Saat Uchakkey,14/10/16,N,"Manoj Bajpai, Aditi Sharma",0,0,<25,<50,"2,06,50,000",2:19,2 - 2.5,0,0,1157,6795,16260,20905,4.317074178,0,-1.878639897,-0.777943819,0,0,487.29,139.29,28.57,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Fuddu,14/10/16,N,"Shubham , Swati Kapoor",0,0,<25,<50,"17,25,000",1:40,<2,1367,1391,1421,14713,14882,14951,2.213388998,1,-1.310563736,-0.923523749,1.76,2.16,935.4,1.15,0.46,0,1,0,1,0,0,0,1,0,0,0,0,0,0
31st October,21/10/16,Y,"Soha Ali Khan, Vir Das",0,0,<25,<50,"99,80,000",1:49,<2,10136,10287,30694,44638,45455,45968,1.627646767,1,-0.440465649,-0.435738382,1.49,198.38,45.43,1.83,1.13,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Ishq Junoon,11/11/2016,Y,"Rajbeer Singh, Divya Singh",0,0,<25,<50,"4,00,000",1:43,<2,9885,10092,11439,11705,11869,11960,1.087470449,1,-0.451355577,-1.020462811,2.09,13.35,2.33,1.4,0.77,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Dear Zindagi,23/11/16,N,"Alia Bhatt, Shahrukh Khan",1,1,50 - 75,50-100,"64,34,00,000",2:31,2.5 - 3,11516,13282,24324,37502,42259,45305,1.757601856,1,-0.385030594,-0.442047856,15.34,83.14,54.18,12.68,7.21,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Saansein,25/11/16,Y,Rajneesh Duggal,0,0,<25,<50,"2,50,00,000",1:41,<2,135,12049,16239,18135,18727,19294,1.47767481,1,-2.315998482,-0.812771716,8825.19,34.77,11.68,3.26,3.03,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Moh Maya Money,25/11/16,Y,"Ranvir Shorey, Neha Dhupia",0,0,<25,<50,"27,00,000",1:48,<2,479,495,12839,12691,12868,12914,1.639997968,1,-1.765996737,-0.987133208,3.34,2493.74,-1.15,1.39,0.36,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Dongri Ka Raja,11/11/2016,Y,"Ronit Roy, Gashmeer Mahajani, Reecha Sinha",0,0,<25,<50,"30,00,000",2:19,2 - 2.5,0,0,47893,48061,48519,48618,1.682598133,0,-0.261701214,-0.411396901,0,0,0.35,0.95,0.2,0,1,1,0,0,0,1,1,0,0,0,0,0,0
The Silent Heroes,12/11/2015,N,"Maanuv Bhardawaj, Priyanka Panchal, Mann Bagga, Simran Deep, Nirmal Kumar Pant",0,0,<25,<50,"18,45,000",1:57,<2,3058,3286,9234,20594,28653,33979,2.620825299,1,-0.960894769,-0.566983397,7.46,181.01,123.02,39.13,18.59,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Kajarya,12/4/2015,N,"Meenu Hooda, Ridhima Sud, Kuldeep Ruhil",0,0,<25,<50,"2,25,000",2:12,2 - 2.5,1557,1556,3931,9332,11775,13129,2.331888743,1,-1.254043638,-0.979962342,-0.06,152.63,137.4,26.18,11.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Angry Indian Godessess,27/11/15,Y,"Sarah-Jane Dias, Tannishtha Chatterjee, Anushka Manchanda, Sandhya Mridul",0,0,<25,<50,"2,10,75,000",2:01,2 - 2.5,2021,15345,16853,17734,19166,19742,1.387955399,1,-1.140765937,-0.802802843,659.28,9.83,5.23,8.07,3.01,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Charlie Kay Chakkar Mein,11/6/2015,N,Naseeruddin Shah,0,0,<25,<50,"74,45,000",1:42,<2,0,3427,77702,81155,83944,85422,1.734611823,0,-1.125976925,-0.166624255,0,0,4.44,3.44,1.76,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Love Exchange,30/10/15,N,"Mohit Madan, Jyoti Sharma",0,0,<25,<50,"8,95,000",2:02,2 - 2.5,0,0,3432,7410,16804,34617,6.26076105,0,-1.406425977,-0.558904562,0,0,115.91,126.77,106,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Guddu Ki Gun,30/10/15,N,"Kunal Khemu, Payel Sarkar, Aparna Sharma, Sumeet Vyas",0,0,<25,<50,"1,46,75,000",2:10,2 - 2.5,0,0,0,3937,4121,11549,7.166170266,0,-1.428131848,-1.035649609,0,0,0,4.67,180.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Once upon a time in Bihar,30/10/15,N,"Ashish Vidyarthi, Kranti Prakash Jha, Ajay Kumar, Arti Puri, Pankaj Jha, Deepak Singh",0,0,<25,<50,"5,50,000",2:02,2 - 2.5,0,0,129,13786,14063,14820,2.648509543,0,-2.831383546,-0.927345787,0,0,10586.82,2.01,5.38,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Titli,30/10/15,N,"Shashank Arora, Ranvir Shorey, Amit Sial, Lalit Behl",0,0,<25,<50,"1,78,70,000",1:56,<2,3338,3460,3760,4214,4336,4520,1.18275068,1,-0.922845918,-1.443055556,3.65,8.67,12.07,2.9,4.24,0,1,1,0,0,0,0,1,0,1,0,0,0,0
Pyar Ka Punchnama 2,16/10/15,Y,"Kartik Aaryan, Nushrat Bharucha, Sonalli Sehgall, Omkar Kapoor",0,0,50 - 75,50-100,"60,38,25,000",2:17,2 - 2.5,0,35,320652,325629,339780,360461,1.827717585,0,-3.116822986,0.458664293,0,916048.57,1.55,4.35,6.09,0,1,0,1,0,0,1,1,0,0,0,0,0,0
Jazbaa,10/9/2015,Y,"Aishwarya Rai Bachchan,?Irrfan Khan,?Shabana Azmi,",0,1,<25,<50,"22,47,50,000",1:59,<2,5234,5416,36780,38702,40010,41424,1.641959062,1,-0.727498532,-0.480941957,3.48,579.1,5.23,3.38,3.53,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Time Out,25/09/15,Y,"Chirag Malhotra, Pranay Pachauri",0,0,<25,<50,"4,25,000",1:38,<2,0,0,4157,44232,44374,44432,2.394920389,0,-1.323193231,-0.450498128,0,0,964.04,0.32,0.13,0,0,0,0,0,0,0,1,0,,1,0,0,0
Calendar Girls,25/09/15,Y,"Akanksha Puri,?Kyra Dutt,?Avani Modi,?Ruhi Singh",0,0,<25,<50,"5,89,50,000",2:11,2 - 2.5,694,20099,28140,29207,29915,30453,1.409143492,1,-1.60497278,-0.614563908,2796.11,40.01,3.79,2.42,1.8,0,1,0,0,0,0,0,1,0,,0,0,0,0
Meeruthiya Gangster ,18/09/15,Y,"Jaideep Ahlawat, Aakash Dahiya, Shadab Kamal, Nushrat Bharucha, Ishita Sharma",0,0,<25,<50,"58,75,000",2:09,2 - 2.5,2079,2086,39779,41908,42168,42267,1.650796751,1,-1.128477761,-0.472192567,0.34,1806.95,5.35,0.62,0.23,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hero,25/09/15,Y,"Sooraj Pancholi,?Athiya Shetty,?Tigmanshu Dhulia,?Aditya Pancholi,?Sharad Kelkar",0,0,25 - 50,<50,"31,32,25,000",2:25,2 - 2.5,980,219725,293557,308311,325489,327677,1.427087562,1,-1.455106175,0.417251968,22320.92,33.6,5.03,5.57,0.67,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Manjhi- The Mountain Man,21/08/15,N,"Nawazuddin Siddiqui,?Radhika Apte",0,0,<25,<50,"13,53,50,000",2:00,2 - 2.5,0,0,36131,69244,73847,80739,2.252485744,0,-0.384093274,-0.191110624,0,0,91.65,6.65,9.33,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Gour Hari Dastaan,14/08/2015,Y,"Vinay Pathak,?Konkona Sen Sharma,?Ranvir Shorey,?Tannishtha Chatterjee",0,0,<25,<50,"18,50,000",1:54,<2,0,5220,20611,34368,42933,47771,2.316012489,0,-0.943220527,-0.419029658,0,294.85,66.75,24.92,11.27,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Masaan,24/07/15,N,"Richa Chadda, Vicky Kaushal,?Sanjay Mishra,?Shweta Tripathi",0,0,<25,<50,"3,80,75,000",1:49,<2,0,107,1806,35756,56742,58862,3.11732743,0,-2.631507252,-0.328358976,0,0,1879.84,58.69,3.74,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Bezubaan Ishq,7/3/2015,N,"Nishant Malkani,?Mugdha Godse,?Sneha Ullal",0,0,<25,<50,"10,75,000",2:08,2 - 2.5,0,0,1780,4266,12567,12616,3.389029173,0,-1.691553254,-0.99727231,0,0,139.66,194.59,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Welcome to Karachi,28/05/15,N,"Arshad Warsi,?Jackky Bhagnani,?Lauren Gottlieb,?Ayub Khoso, Adnan Shah,Imran Hasnee",0,0,<25,<50,"9,01,50,000",2:11,2 - 2.5,33,441,3484,3809,6854,11154,3.814376582,1,-2.927818311,-1.05076335,1236.36,690.02,9.33,79.94,62.74,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Kuch Kuch Locha Hai,5/8/2015,Y,"Ram Kapoor,?Sunny Leone,?Evelyn Sharma, Navdeep Chabbra",0,1,<25,<50,"2,64,50,000",2:23,2 - 2.5,21460,21655,53564,90497,112932,114165,1.902065257,1,-0.114702533,-0.04066101,0.91,147.35,68.95,24.79,1.09,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Sabki Bajegi Band,5/1/2015,Y,"Sumeet Vyas,?Swara Bhaskar, Alekh Sangal,?Shaurya Chauhan,?Amol Parashar",0,0,<25,<50,"23,70,000",1:48,<2,2719,2712,11121,31714,51860,64894,3.240616823,1,-1.011923043,-0.285989446,-0.26,310.07,185.17,63.52,25.13,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Kaagaz Ke Fools,24/4/15,N,"Vinay Pathak,?Mugdha Godse,?Raima Sen,?Saurabh Shukla,?Rajendra Sethi,Amit Behl",0,0,<25,<50,"35,00,000",1:49,<2,0,0,162,166,166,167,1.690283401,0,-2.732458241,-2.875477519,0,0,2.47,0,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ishq Ke Parindey,24/4/15,N,"Rishi Verma, Priyanka Mehta, Manjul Aazad, Yasir Iftikhar Khan",0,0,<25,<50,"29,50,000",2:02,2 - 2.5,0,0,0,91,108,126,3.165829146,0,-3.06425587,-2.997823445,0,0,0,18.68,16.67,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Mr X,17/4/15,Y,"Emraan Hashmi,?Amyra Dastur,?Nora Fatehi",0,0,<25,<50,"19,34,75,000",2:13,2 - 2.5,0,0,0,432,644,651,3.025092937,0,-2.387813516,-2.284613002,0,0,0,49.07,1.09,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Margarita with a Straw,17/04/15,Y,"Kalki Koechlin,?Revathi,?Hussain Dalal",0,0,<25,<50,"5,59,75,000",1:40,<2,0,0,5280,21003,23200,24569,2.482569771,0,-1.219339333,-0.70780651,0,0,297.78,10.46,5.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Court,17/04/15,Y,"Vira Satidhar, Vivek Gombher, Geetanjali Kulkarni",0,0,<25,<50,"2,50,00,000",1:56,<2,1623,1921,2668,10870,23996,30489,3.71111057,1,-1.236013731,-0.61405081,18.36,38.89,307.42,120.75,27.06,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dharam Sankat Mein,4/10/2015,N,"Naseeruddin Shah,?Paresh Rawal,?Annu Kapoor,?Murali Sharma",0,0,<25,<50,"9,06,50,000",2:09,2 - 2.5,0,0,568,22200,22768,24326,2.671073436,0,-2.18762492,-0.712123288,0,0,3808.45,2.56,6.84,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Detective Byomkesh Bakshy,4/3/2015,Y,"Sushant Singh Rajput,?Anand Tiwari,?Swastika Mukherjee, Divya Menon, Neeraj Kabi,?Meiyang Chang",0,0,25 - 50,<50,"26,21,50,000",2:19,2 - 2.5,39769,68433,75990,76952,78524,79983,1.177370256,1,0.15321242,-0.195196301,72.08,586.56,1.27,2.04,1.86,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Hunterrr,20/03/15,Y,"Gulshan Devaiah,?Radhika Apte,?Sai Tamhankar",0,0,<25,<50,"12,86,50,000",2:21,2 - 2.5,0,7926,54417,70594,101376,101965,2.175828913,0,-0.20623866,-0.089742867,0,0,29.73,43.6,0.58,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Badmaashiyan,3/6/2015,Y,"Suzzanna Mukherjee,?Sidhant Gupta, Gunjan Malhotra, Sharib Hashmi, Karan Mehra",0,0,<25,<50,"78,75,000",2:08,2 - 2.5,0,0,19554,19715,23640,23662,1.880653007,0,-0.650737645,-0.724142541,0,0,0.82,19.91,0.09,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Dum Laga Ke Haisha,27/02/15,N,"Ayushmann Khurrana, Bhumi Pednekar",0,0,25 - 50,<50,"30,26,25,000",1:50,<2,0,32417,33978,66957,71048,71048,1.737964775,0,-0.150118209,-0.246642134,0,106.55,97.06,6.11,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Dolly Ki Doli,22/01/15,Y,"Sonam Kapoor,?Pulkit Samrat,?Rajkummar Rao,?Varun Sharma",0,1,<25,<50,"11,24,50,000",1:38,<2,0,0,27735,44239,53235,59221,2.364885911,0,-0.498945086,-0.325718254,0,0,59.51,20.33,11.24,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Shaandaar,22/10/15,Y,"Shahid Kapoor,?Alia Bhatt,?Pankaj Kapur",0,1,25 - 50,<50,"39,48,25,000",2:24,2 - 2.5,168,1252,21794,22156,22466,22597,1.665561059,1,-2.221022969,-0.744143205,645.24,1640.73,1.66,1.4,0.58,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Kahaani 2,12/2/2016,N,"Vidya Balan,?Arjun Rampal,?Jugal Hansraj",0,0,<25,<50,"23,58,00,000",2:07,2 - 2.5,0,0,27823,46251,47234,47458,1.956095229,0,-0.4975693,-0.421884559,0,0,66.23,2.13,0.47,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Love Games,4/8/2016,N,"Patralekha,?Tara Alisha Berry, Gaurav Arora",0,0,<25,<50,"3,11,25,000",1:54,<2,0,0,1242,2199,2660,3400,2.786428454,0,-1.84785166,-1.566715073,0,0,77.05,20.96,27.82,0,1,0,0,1,0,0,0,0,0,0,0,0,0
